Year,TTI,PTI,BTI,Peak,Severity,Variability
2020,1.122058681,1.526855947,0.003253208,am,1.324457314,1.360763008
2020,1.122058681,1.526855947,0.003253208,am,1.324457314,1.360763008
2020,1.132093087,1.717070441,0.00547236,am,1.424581764,1.516721956
2020,1.122058681,1.526855947,0.003253208,am,1.324457314,1.360763008
2020,1.127075884,1.621963194,0.004362784,am,1.374519539,1.439089609
2020,1.141780126,1.396914666,0.003773254,am,1.269347396,1.223453303
2020,1.141780126,1.396914666,0.003773254,am,1.269347396,1.223453303
2020,1.122058681,1.526855947,0.003253208,am,1.324457314,1.360763008
2020,1.122058681,1.526855947,0.003253208,am,1.324457314,1.360763008
2020,1.136936606,1.556992553,0.004622807,am,1.34696458,1.369462945
2020,1.132093087,1.717070441,0.00547236,am,1.424581764,1.516721956
2020,1.132093087,1.717070441,0.00547236,am,1.424581764,1.516721956
2020,1.132093087,1.717070441,0.00547236,am,1.424581764,1.516721956
2020,1.153728241,1.596781348,0.242772699,am,1.375254795,1.384018604
2020,1.144088352,1.585562828,0.101937038,am,1.36482559,1.385874461
2020,1.167690176,1.605068646,0.010362052,am,1.386379411,1.374567225
2020,1.167690176,1.605068646,0.010362052,am,1.386379411,1.374567225
2020,1.224493165,1.793295863,0.08771386,am,1.508894514,1.464520925
2020,1.306316174,2.049288061,0.074818841,am,1.677802118,1.568753494
2020,1.198098776,1.768560892,0.603757314,am,1.483329834,1.47613947
2020,1.194044202,2.566182978,0.105881338,am,1.88011359,2.149152413
2020,1.106582217,2.858433712,0.107716653,am,1.982507964,2.583119147
2020,1.201448046,2.513861634,0.122902871,am,1.85765484,2.092359833
2020,1.229559267,3.117227259,0.125592448,am,2.173393263,2.535239531
2020,1.068219105,1.189838556,0.148564527,am,1.129028831,1.113852533
2020,1.15061349,2.366606807,0.287806532,am,1.758610148,2.056821712
2020,1.070954384,2.724907255,0.258514404,am,1.89793082,2.544372846
2020,1.622905156,2.350496562,0.111060914,am,1.986700859,1.448326511
2020,1.411209748,2.100771003,0.015485727,am,1.755990376,1.488631301
2020,1.411209748,2.100771003,0.015485727,am,1.755990376,1.488631301
2020,1.473917239,2.165093858,0.074145175,am,1.819505548,1.468938554
2020,1.411209748,2.100771003,0.015485727,am,1.755990376,1.488631301
2020,1.59933222,2.293739566,0.191464071,am,1.946535893,1.434185804
2020,1.560530008,2.959118128,0.338425058,am,2.259824068,1.896226355
2020,1.466490352,2.341997544,0.033584405,am,1.904243948,1.597008491
2020,1.508201275,2.252958178,0.030299029,am,1.880579726,1.493804716
2020,1.508201275,2.252958178,0.030299029,am,1.880579726,1.493804716
2020,1.532386597,2.344472749,0.058604559,am,1.938429673,1.529948613
2020,1.55657192,2.43598732,0.086910089,am,1.99627962,1.564969334
2020,1.327729664,2.460559878,0.190552577,am,1.894144771,1.853208484
2020,1.55657192,2.43598732,0.086910089,am,1.99627962,1.564969334
